iter	Passed	Remaining
937	534280	35314
938	535129	34763
939	535701	34193
940	536278	33624
941	536834	33053
942	537533	32491
943	538196	31926
944	538758	31356
945	539320	30785
946	539959	30219
947	540643	29655
948	541248	29087
949	541882	28520
950	542434	27948
951	543053	27380
952	544007	26829
953	544758	26267
954	545376	25698
955	545914	25125
956	546379	24549
957	546896	23976
958	547474	23406
959	548035	22834
960	548614	22264
961	549282	21697
962	549964	21130
963	550496	20557
964	551084	19987
965	551864	19423
966	552579	18857
967	553185	18287
968	553808	17717
969	554560	17151
970	555133	16579
971	555605	16005
972	555895	15425
973	556634	14858
974	557251	14288
975	557872	13718
976	558476	13147
977	559204	12579
978	559686	12005
979	560286	11434
980	561013	10865
981	561572	10293
982	562053	9720
983	562997	9154
984	563803	8585
985	564237	8011
986	564864	7439
987	565431	6867
988	565913	6294
989	566514	5722
990	567070	5149
991	567756	4578
992	568266	4005
993	568937	3434
994	569535	2861
995	570503	2291
996	571176	1718
997	571568	1145
998	572127	572
999	572767	0
